batter_name,xwoba,spray xwoba,pa,diff
aaron hicks,0.29386487444274917,0.2983619875710704,225.0,0.0044971131283212396
aaron judge,0.43144472122132,0.4371948498917102,309.0,0.005750128670390209
aaron whitefield,0.18792769919623273,0.22467489525137319,11.0,0.03674719605514046
abraham toro,0.3022234200409535,0.2889448304687916,209.0,-0.01327858957216188
adalberto mondesí,0.2043957448574858,0.2013433045620727,54.0,-0.0030524402954131002
adam duvall,0.28036704722846933,0.2824574518729867,273.0,0.002090404644517374
adam engel,0.2603911794612067,0.2622116546624736,156.0,0.0018204752012668801
adam frazier,0.31222999242980276,0.30816003264611813,304.0,-0.004069959783684629
adam haseley,0.2501836174116934,0.24798668476025865,21.0,-0.0021969326514347798
adley rutschman,0.3542602375273752,0.35214183133136107,121.0,-0.002118406196014111
adolis garcía,0.34233137042840345,0.34343601197901474,296.0,0.001104641550611296
aj pollock,0.30427941181572227,0.30456992147559153,215.0,0.0002905096598692647
akil baddoo,0.21820374210587143,0.22162970063591622,55.0,0.0034259585300447926
alan trejo,0.3214475365060209,0.30008709154821656,40.0,-0.02136044495780437
albert almora,0.2676181276216621,0.28280285467593674,134.0,0.01518472705427465
albert pujols,0.32325519211530246,0.3189759914656261,132.0,-0.004279200649676351
alcides escobar,0.23470544769813786,0.23329846058422088,125.0,-0.0014069871139169854
alec bohm,0.34168565008170465,0.332270783296013,288.0,-0.009414866785691645
aledmys díaz,0.2943399543494146,0.27884073037092905,136.0,-0.015499223978485577
alejandro kirk,0.4128753374918364,0.4192697662646248,234.0,0.006394428772788396
alejo lopez,0.3328343527497263,0.3216300531860548,67.0,-0.011204299563671472
alek thomas,0.3164458038605085,0.3072453711327719,163.0,-0.00920043272773663
alex bregman,0.3438666595427648,0.35897958462024804,295.0,0.015112925077483241
alex dickerson,0.32539437180612896,0.29307618564673255,36.0,-0.03231818615939641
alex jackson,0.22729203821716126,0.22738432268595798,12.0,9.22844687967217e-05
alex kirilloff,0.25219362727698086,0.26980617607426716,69.0,0.017612548797286298
alex verdugo,0.34640088584709655,0.34486926201285684,284.0,-0.0015316238342397148
alfonso rivas,0.28258734888500153,0.2782206040741438,138.0,-0.004366744810857748
amed rosario,0.30872878329015746,0.30123715201903567,271.0,-0.00749163127112179
andrelton simmons,0.18848019188392903,0.17747685687103584,67.0,-0.01100333501289319
andres gimenez,0.3401971252694677,0.32908014300714955,214.0,-0.011116982262318165
andrew benintendi,0.33190040283017164,0.3344021051308304,300.0,0.00250170230065877
andrew knapp,0.25367496810100415,0.24414617269739572,35.0,-0.009528795403608431
andrew knizner,0.2904085778693202,0.2857002217962094,136.0,-0.004708356073110764
andrew mccutchen,0.32468852285177563,0.3315556521977556,260.0,0.006867129345979994
andrew vaughn,0.3437988875652167,0.3526343380890871,230.0,0.008835450523870414
andrew velazquez,0.2605465724731723,0.2643168518949279,212.0,0.0037702794217555624
andy ibáñez,0.2747068080303252,0.2511666563539331,128.0,-0.023540151676392118
anthony alford,0.04350590190539167,0.032427466302737316,4.0,-0.011078435602654355
anthony bemboom,0.25633086621121487,0.25068986993448794,58.0,-0.005640996276726928
anthony rendon,0.34113057803312613,0.3448589201758225,186.0,0.0037283421426963503
anthony rizzo,0.36441569890310743,0.3648390529865806,306.0,0.0004233540834731597
anthony santander,0.3324132183645639,0.3358516010147812,285.0,0.0034383826502172865
aramis garcia,0.25342664194349235,0.24844616761134056,102.0,-0.004980474332151791
aristides aquino,0.21086083689145724,0.22781914430084815,89.0,0.016958307409390916
austin allen,0.15954007704339654,0.16069488626407263,16.0,0.0011548092206760951
austin barnes,0.32344501238243256,0.3292104097351569,88.0,0.005765397352724355
austin hays,0.3361523317557008,0.33654808382699647,290.0,0.00039575207129566303
austin hedges,0.23736210225313253,0.24715705488370912,159.0,0.009794952630576587
austin meadows,0.38160541778490037,0.3676633480712248,144.0,-0.013942069713675564
austin nola,0.323697564533357,0.32397330758208376,197.0,0.0002757430487267398
austin riley,0.3721455925180257,0.3761796526586795,311.0,0.004034060140653772
austin romine,0.16564436629256002,0.1449888941161703,9.0,-0.020655472176389716
austin slater,0.35896210901920667,0.3393338647110007,124.0,-0.019628244308205978
austin wynns,0.2592722274488495,0.2790094802460959,36.0,0.01973725279724642
avisail garcia,0.2920421652921684,0.29439805562840504,238.0,0.0023558903362366213
ben gamel,0.3649265273161166,0.3565559560144587,159.0,-0.008370571301657859
billy mckinney,0.20664289516963533,0.21097966692593492,56.0,0.0043367717562995955
bligh madris,0.2911988396596758,0.27011458244658415,29.0,-0.02108425721309165
bo bichette,0.33109743318522844,0.3354170755506545,322.0,0.004319642365426035
bobby bradley,0.15350338181964784,0.14009123758947215,17.0,-0.013412144230175699
bobby dalbec,0.29897784768635494,0.3070839660213807,206.0,0.00810611833502578
bobby witt,0.30935921134730504,0.30692339284259507,289.0,-0.0024358185047099745
brad miller,0.27533390552896164,0.27930210746423817,163.0,0.003968201935276527
bradley zimmer,0.2127717468742092,0.19897074284035832,73.0,-0.013801004033850872
brandon belt,0.34413251963266667,0.33297309205766834,152.0,-0.011159427574998326
brandon crawford,0.29997802521945766,0.29363007915172207,241.0,-0.006347946067735588
brandon drury,0.3316344091085536,0.3285074148945008,255.0,-0.0031269942140527696
brandon lowe,0.32332190317523646,0.31928270529218783,133.0,-0.004039197883048629
brandon marsh,0.28466603847494376,0.2811979819222013,245.0,-0.00346805655274246
brandon nimmo,0.3431322095663723,0.3288284109982702,287.0,-0.0143037985681021
brendan donovan,0.33742463870119915,0.3392699072555937,200.0,0.0018452685543945413
brendan rodgers,0.3038657851676389,0.30380622058746487,270.0,-5.956458017403188e-05
brett phillips,0.23074340273883057,0.22666513526545562,158.0,-0.004078267473374947
brian anderson,0.35787384135009764,0.3574879406656516,125.0,-0.00038590068444604997
brian serven,0.2894487490473698,0.30823941503585833,71.0,0.018790665988488553
bryan de la cruz,0.3251469382998741,0.3194858285201533,145.0,-0.005661109779720841
bryan lavastida,0.24231555594811552,0.21798869217832817,15.0,-0.02432686376978735
bryan reynolds,0.3172908248508709,0.3112920440333434,293.0,-0.005998780817527527
bryce harper,0.4236259125839931,0.42662889409079474,270.0,0.0030029815068016164
bryson stott,0.23162064882563005,0.2293133231206524,157.0,-0.0023073257049776585
buddy kennedy,0.2636901880373457,0.24914810043051983,27.0,-0.014542087606825849
byron buxton,0.362409201078001,0.3729927126720374,232.0,0.010583511594036366
c. j. abrams,0.2549193057101625,0.242478738837895,90.0,-0.012440566872267522
c. j. cron,0.33693407690388294,0.3432971032334921,312.0,0.006363026329609167
cal mitchell,0.2574363759230358,0.26237525169207354,88.0,0.004938875769037732
cal raleigh,0.3270239032292372,0.33414745717682737,155.0,0.007123553947590178
cam gallagher,0.24923697175290555,0.26996196059039973,27.0,0.020724988837494185
canaan smith-njigba,0.3807975533215937,0.38349332558316823,7.0,0.002695772261574525
carlos correa,0.3647776234916621,0.36298506836565064,229.0,-0.0017925551260114525
carlos santana,0.36620810627902933,0.3563615655989868,211.0,-0.009846540680042537
carson kelly,0.1959884455564808,0.19600109021842846,98.0,1.2644661947669444e-05
cavan biggio,0.3282266088208413,0.337968834486344,114.0,0.009742225665502702
cedric mullins,0.29739387812923596,0.29712563154987537,319.0,-0.00026824657936058705
cesar hernandez,0.3019587453274471,0.3073174913286113,333.0,0.005358746001164205
chad pinder,0.27444008629784,0.2766733395552422,191.0,0.0022332532574022013
chad wallach,0.3440846411334274,0.3502436919419054,35.0,0.006159050808478006
charlie blackmon,0.3203686019897425,0.3210586672994018,287.0,0.0006900653096593157
charlie culberson,0.2504696696855594,0.2537707229197341,74.0,0.0033010532341747334
chas mccormick,0.30169030953369547,0.29446268295960715,172.0,-0.007227626574088319
chris okey,0.20949471567345473,0.20174043675322814,13.0,-0.007754278920226593
chris owings,0.23668693964940968,0.22622282538740124,68.0,-0.01046411426200844
chris taylor,0.29352334948696585,0.3038544258804466,262.0,0.010331076393480743
christian arroyo,0.33245031712085593,0.32042448999892553,103.0,-0.0120258271219304
christian bethancourt,0.35307566995648115,0.3581204030545187,160.0,0.005044733098037546
christian lopes,0.22452343688090387,0.19789832615403166,10.0,-0.02662511072687221
christian vazquez,0.32407415676838264,0.3206530988208086,208.0,-0.0034210579475740244
christian walker,0.3775645716665044,0.3817423817131233,289.0,0.0041778100466188794
christian yelich,0.3408301843464045,0.3376878624110379,312.0,-0.003142321935366621
christopher morel,0.31519691311754156,0.3206676676233035,168.0,0.0054707545057619544
cody bellinger,0.28662529830350447,0.28757737000714206,272.0,0.0009520717036375914
cole tucker,0.19419753054174754,0.17755653014182118,63.0,-0.01664100039992636
colin moran,0.3294426673954084,0.32550557641749445,117.0,-0.0039370909779139485
connor joe,0.3271016273017653,0.3229180981878533,305.0,-0.00418352911391201
